,Unnamed: 0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation of star ratings,FOG Index,Flesch Reading Ease,ContentDepth,ContentBreadth
804,804,stgileshotel,"location was good for my purposeThe executive room was fair clean, but everything looking old, used to much, bathroom less then fair, only one bathrobe, one towel for two people, also toiletries, one very,very small bottle of shower gel The breakfast 1050 poundsperson, less then poor One type of coffee like when I  was in the army, the ham was dry like overcooked, small croissant was the only sweet thing Too expensive for what you get Never go again I dont recommend this location",2023-03-02,4.0,7.0,14989,0,0,Too much money for almost nothing,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,6,84,641,3.0,35.5,3.14,1.7506096953705153,0.8087678610525811
805,805,z-trafalgar,Nice staff and cleanVery small room and cramped for two adults with luggage,2023-07-03,6.0,8.4,13923,0,0,Good for a one night stay but not extended as not enough room,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,13,13,518,2.4000000000000004,5.2,92.12,0.8642135127412847,1.349831894922374
806,806,zedwell-trocaderor,The location was good to the haymarket theaterWas expensive no  machine put in for tea or coffee no tv No window very dark,2022-03-30,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,1,23,978,0.40000000000000036,16.16,56.59,1.5614433385789044,1.3276834832884976
807,807,thistletower,Great location close to transport links and attractions Views of river or St Katherines Dock Costa on site Comfortable accommodationSome fittings a bit old but serviceable,2024-11-17,9.0,7.7,20956,0,0,"Excellent hotel, well located",4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,4,26,15,1.2999999999999998,18.09,36.63,1.4509526074053705,0.4944399956252605
808,808,express-hammersmith,"Convenient location, lot of shops and restaurants around, very nice staff, everything went smooth and easyBreakfast is the same every day, no vegetable available, rooms are too small for the family of four  just beds in the room then, no table, chairs but ok if you come to the room only to sleep",2022-06-05,7.0,8.0,8003,0,0,Good value for shortterm stay,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,5,53,911,1.0,23.46,43.06,1.182501190638238,0.6094891999211652
809,809,thistletower,location and views are second to none really does have the wow factorrooms are starting to get a bit tired,2022-06-03,7.0,7.7,20956,0,0,Its all about the location,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,5,20,913,0.7000000000000002,12.0,68.1,0.7861140899535255,0.7754399274842537
810,810,the-belgrave,"My son and his girlfriend stayed to celebrate their 1st anniversary They had a great stay and said the room and location was greatHad asked to add a cooked breakfast instead of the included continental However this was not possible as they were told they had no chef A shame, although just another hospitality venue struggling for staff it seems",2022-05-08,8.0,8.6,5715,0,0,Anniversery Romantic gift,4,9.1,8.6,9.1,9.0,8.3,9.2,2024-12-02,3,60,939,0.5999999999999996,28.0,27.5,1.6780839299356782,1.0069117989452134
811,811,milleniumgloucester,Lovely hotelDidnt sleep at all on the Sunday night due to banging all night which we realised in the morning it was the flag  and pole outside our window reported this at checkout in the morning who didnt seem bothered was more interested that we hadnt reported it in the middle of the night and we could of slept in another room I did explain to her we wouldnt of moved early hours of the morning with a child in tow,2024-10-29,8.0,7.4,15320,0,0,Ok apart from the banging and lack of sleep,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02,9,81,34,0.5999999999999996,33.39,14.64,0.26029202436011806,1.881000075750364
812,812,z-trafalgar,excellent location clean,2023-05-30,7.0,8.4,13923,0,0,Good,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,1,3,552,1.4000000000000004,27.87,9.21,1.482545733188266,1.480593514268916
813,813,montanahotel,"Comfy beds, friendly staff, and exactly the place we wanted for our 3night stay On arrival, they gave us a complimentary upgrade to a family room I had originally booked a twin roomThe windows in our room did not open",2023-06-20,9.0,7.8,6248,0,0,Comfortable  great location,3,9.0,7.7,8.2,8.2,8.0,9.4,2024-12-16,3,40,545,1.2000000000000002,19.0,47.8,1.303768496927666,0.6856759010646294
