,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date
954,montanahotel,location was greatBathroom a little too small,2023-05-08,8.0,7.8,6248,0,0,great location very friendly staff and the Indian restaurant outstanding,3,9.0,7.7,8.2,8.2,8.0,9.4,2024-12-16
955,alexandra-hotel,Location centralReceptionist needed to be more welcoming and shows more attention to customer,2024-07-31,8.0,7.0,6404,1,0,Great stay and good location Near to Paddington station,3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02
956,windsorhousehotel,"Everything was good, nice room, the bathroom is great Its clean",2023-02-03,8.0,8.0,6335,0,0,Very good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
957,milleniumgloucester,"room facilities were poor  not enough towels for the number of guests in the rooms Staff did not answer the phone Ordered room service, basic crockery such as cutlery and bottle openers were not provided",2022-01-28,7.0,7.4,15320,0,0,Good,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
958,milleniumgloucester,"Location, very accessible to tube station as well as restaurantsNo aircon initially on the given room, transfered to another room after complaining Ended up no aircon still",2024-06-21,7.0,7.4,15320,0,0,"I hope if no aircon, atleast make the ventilation work",4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
959,marlin-waterloo,"Perfekte Lage, neben UBahn",2024-02-16,8.0,8.1,10695,1,0,Very good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
960,nyx-hotel-london-by-leonardo-hotels,Very trendy and modern hotel with lots of nice little touchesNothing,2022-06-03,10.0,8.4,9394,0,0,"Great location, very funky hotel, really enjoyed my stay",5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02
961,park-plaza-county-hall,"Family friendly right from checkin, clean modern feeling hotel, good location, staff were greatThe gym wasnt spectacular but it did the job Good excuse to get outside for a run ",2023-05-15,10.0,8.6,11045,0,0,We had a great time in London and staying here,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
962,phoenixhotel,"The hotel is very well located and the personnel was very friendlyBed was too hard 
Breakfast options was not the best",2023-09-25,7.0,8.2,5898,0,0,Basic hotel with good location,4,9.0,8.1,8.7,8.5,8.3,9.2,2024-12-02
963,lancaster-gate,"Location was great for where we needed to beTiny cramped room, tiny cramped bathroom, outdated and shabby The door didnt close on bathroom properly No soundproofing so had to endure conversation from loud man next door, word for word Expensive for what it is, even by London standards",2023-07-26,5.0,7.7,14445,0,0,Needs must but overpriced and shabby,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
964,sidneyhotel,"Room was very clean, shower was great, coffee in the room  Lots of towels  Very little outside noiseThe pillows were very disappointing, they were pads",2024-03-30,9.0,7.8,12641,0,0,I would happily stay again but I would bring my own pillow,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
965,studios2let,"Location Close to the Kings Cross 024 reception The bed is comfortable The hungarian receptionist was helpfulThe BAD SMELL in the room The problem is no connection with actual cleaning  maybe the floor rots soggy laminate floor We couldnt the origin explorer during our stay, but we should  keep the window always open Old fashioned Just one destroyed armchair  doesnt fit to my standard 4 nights booked There were no cleaning If you want, you can change the towels at the reception, oder ask for a toilettpaper  and you can walk straight outside with your toilettpaper on the road  No place for the lagguage, no towel rail The flush  in the toilet  was unpredictable  We couldnt charge our handy We have been there 12 years ago  the quality decreased since 2012",2024-05-22,4.0,7.6,11670,0,0,It need a renovation,3,8.3,7.5,7.9,7.8,7.6,9.3,2024-12-02
966,astorcourthotel,Great locationThe hotel have charged 108 cancellation fee after turning up and staying for the duration of my booking Hotel are not responding to messages so I have had to go through bookingcom to resolve the issue,2024-01-26,6.0,7.9,7132,0,0,Pleasant,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02
967,cityinnwestminster,"Good location near popular sites and public transportationNothing major  I wish the bed was a little softer, but I was still able get get enough rest",2023-04-07,8.0,8.3,7467,0,0,Would stay again,4,8.8,8.5,8.8,8.8,7.9,8.9,2024-12-02
968,stgileshotel,"Great location and very helpful staffMy single room was very small, the decor definitely needed an update Only a blind so very light when trying to sleep Shower curtain smelt very musty",2022-02-25,6.0,7.0,14989,0,0,Pleasant,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
969,the-clermont-victoria,Excellent location and elegant surroundingsCant think of anything,2022-10-03,8.0,8.7,6664,0,0,Quality hotel in good location and ideal for Victoria station and nearby theatres,4,9.1,8.7,9.1,9.1,8.0,9.6,2024-12-02
970,milleniumgloucester,Hotel was lovely and great locationBookingcom basically lied about the availability of an airport shuttle as part of the booking You were impossible to contact to book this in Also Bookingcom charged 30 more than the actual price without including breakfast We know this because we bought a day direct with the hotel directly before this booking Not impressed with your margins,2023-06-20,7.0,7.4,15320,0,0,Good,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
971,sidneyhotel,"locations good, once we found bus outside took us down to Victoria stationnothing I could think of",2021-12-06,10.0,7.8,12641,0,0,"clean, brilliant staff",3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
972,zedwell-trocaderor,"Clean
LocationNo window 
No conditioner 
No hair dryer 
No coffee  no tea
In the room",2023-07-21,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
973,the-clermont-victoria,"Great location, nice staff, lovely bar Rooms very cleanand not noisy at night timeRooms were very small for the price paid",2023-09-22,10.0,8.7,6664,0,1,Exceptional,4,9.1,8.7,9.1,9.1,8.0,9.6,2024-12-02
974,montcalm-chilworth-townhouse,the cleanish and the locationattempted to charge me for a breakfast we didnt have,2022-09-11,6.0,7.7,9205,0,0,ok but overpriced for what it was,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02
975,norfolktowershotel,"We was upgraded and the room that we got was amazing, very spacious, really comfy bed and all round just a great roomNothing everything was exceptional the staff and the room",2023-04-17,10.0,7.7,9382,0,1,Great value for money,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
976,hanoverhotel,"Clean room, nice staffBreakfast was a disappointment",2022-10-16,8.0,7.8,5613,0,0,Nice and clean,4,8.6,7.8,8.4,8.4,7.9,8.9,2024-12-02
977,the-clermont-victoria,"Breakfast meet expectations 
Location goodInternet 6th floor my room was weak and on and off
Room 604 was noisy from inside as noisy from ceiling may be air conditioning problems 
Noisy from corridor as three doors my neighbors used by housekeeping and others all times",2022-12-06,8.0,8.7,6664,0,0,Away from internet and noisy room hotel location and cleanliness and all staff meet expectations,4,9.1,8.7,9.1,9.1,8.0,9.6,2024-12-02
978,z-trafalgar,"Excellent location and very helpful staff
Only thing I wish for would be to have a slightly bigger room but for our stay was ok because we spent most of our time outside, coming back only to sleep Will choose Z Hotel Trafalgar again for our future visits to LondonWish the roomd were slightly bigger",2024-01-20,8.0,8.4,13923,0,0,Excellent location and very helpful staff,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02
979,ace,Nice small locationThe breakfast was not that nice No freshreal coffee,2023-10-27,9.0,7.7,6277,0,0,Superb,4,8.4,7.7,8.1,8.0,7.9,8.6,2024-12-02
980,norfolktowershotel,The location is perfect and easy to access Also all staffs are so friendly manner Wed love to come back and stay this hotel,2023-10-02,10.0,7.7,9382,0,0,One of our favorite hotel during we traveled in UK,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
981,thistletower,Lovely and comfortable,2023-03-22,9.0,7.7,20956,0,0,Superb,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
982,zedwell-trocaderor,"The location of this accommodation is 1010 The rooms are very simple but well designedThe rooms dont include irons, hairdryers or any extra, any extra amenities are charged for so keep that in mind when booking The air conditioning isnt great either  the rooms dont have any windows so in the summer it does feel extremely closed in",2023-10-22,6.0,7.4,39497,0,0,Pleasant,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
