,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date
0,tavistock,We have stayed here often and it is ideal Location great for walking to and from kings Cross or getting the tube from Russell Square Plenty of places to eat nearby,2024-06-12,9.0,7.7,5932,0,0,Will continue to stay here whenever we visit London,3,8.7,7.6,8.2,8.0,7.5,9.1,2024-12-02
1,stgileshotel,"Its in a very convenient location, my mom whos in her early 60s and I first time in London and we loved this hotel, staff are super friendly and helpfulWe had to wait the elevator for sometimes but it didnt take long so not a big issue",2024-11-27,10.0,7.0,14989,0,0,Cozy and comfortable,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
2,montanahotel,The staff were friendlyThe very small bathroom,2024-05-30,6.0,7.8,6248,0,0,We were on the 3rd floor  were not told prior to booking in the lift did not work The bathroom was very small amp,3,9.0,7.7,8.2,8.2,8.0,9.4,2024-12-16
3,z-trafalgar,"Good location, was a 10 minute walk from the theatre 
Clean, functional  certainly adequate for one night
Staff were very helpful and friendly, we were made to feel like nothing was too much troubleNA",2024-09-29,8.0,8.4,13923,0,0,Good functional hotel in great location,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02
4,blakemore,You hear a lot of noise from the other room doors and rooms,2023-11-10,7.0,8.3,12340,0,1,Great stay in a clean and tidy hotel,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
5,express-hammersmith,"Great location, 2 underground stations in a walking distance 7 minutes direct connections to all most popular London atractions
Great pricevalue relationship
Room was cleaned every dayLack of storage space in the room family room is relatively small and because there is no cabinet or even drawer it was difficult to keep it tidy",2023-02-19,8.0,8.0,8003,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
6,safestay,the location was excellent right by lots of restaurants and relatively close to the city centerit was completely filthy trash everywhere and the bathrooms were not well kept,2022-07-10,3.0,7.1,7703,0,0,i spent as little time as possible at the hostel,4,7.5,7.3,7.5,7.4,7.7,8.2,2024-12-02
7,alexandra-hotel,"The location, centrally located
Very clean rooms and facilitiesBed was uncomfortable, room was uncharacteristically warm for November and heating wasnt on, not a lot of breakfast options Street noise",2023-11-18,7.0,7.0,6404,0,0,Good,3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02
8,express-hammersmith,Thanks Menino for your efficient help,2024-10-16,8.0,8.0,8005,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
9,crestfieldhotel,The location was perfect for us as we had an early eurostar train to catch so an easy short walk to the stationIt was all good for a short break,2022-05-08,9.0,7.8,6515,0,0,I would come to this hotel again,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02
10,thistletower,"Comfortable bed, like sleeping on a cloud Very clean Location was fantastic Im not one to complain, but at checkin, I really struggled to understand the desk clerk because of the heavy accent The same was true for the breakfast staff the next morningvery, very difficult to understand 
 I ordered a mediumrare steak for my dinner, but it was quite tough For 26, I would expect a highend hotel to serve a nice steak It may have been a oneoff, but that was my experience",2022-10-16,7.0,7.7,20956,1,0,Perfect location with beds like clouds,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
11,windsorhousehotel,Bed was super comfortable and the bathroom was lovelyLighting was confusing,2022-04-22,8.0,8.0,6335,0,0,Very good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
12,zedwell-trocaderor,Exactly what it looks like in photosClub noise heard nearer the lower floors Defintely ask for a room nearer the top of the building,2023-05-11,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
13,crestfieldhotel,"Convenience for St Pancras  early EurostarTiny tiny rooms, but did the job",2024-05-31,8.0,7.8,6515,0,0,Perfectly located for an early start on Eurostar,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02
14,blakemore,The property was wellmaintained and very clean the room was as described and well appointed We had daily housekeeping and dining room and bar were comfortable and relaxingOur room wouldnt cool when we first arrived but that was quickly corrected by staff Other than that I have nothing bad to say about the hotel,2024-10-24,9.0,8.3,12340,0,0,We would definitely stay here again and would certainly recommend it to friends and family traveling to London,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
15,lancaster-gate,"LocationFood, Bed, Staff",2022-04-25,5.0,7.7,14445,0,1,"uncomfortable bed, dinner service was shocking I had finished my meal but my disabled mum was still eating, they come ov",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
16,royal-national,We have been several times and its comfortable,2023-11-21,9.0,7.5,9767,0,1,We loved it good area,3,8.3,7.5,8.0,7.9,7.3,8.9,2024-12-02
17,crestfieldhotel,"Comfy, friendly staffA lift is needed for upstairs room and to add bfast even if grab to go",2023-12-17,7.0,7.8,6515,0,0,Value for money,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02
18,marlin-waterloo,"I have never stayed in a terrible place before there is always a first time No parking place in front of hotel, lousy welcome, dirty receltion area, lift filthy, bad smell on 4th floor like entering the stinky kitchen of a chinese restaurant the bed was uncomfortable, bathroom semi clean, they clean the room every second day Gosh this is a disasterous place I cant believe I caused this on myself and my familyJust about everything",2022-11-20,1.0,8.1,10695,0,0,Disaster Catastrophy,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
19,park-plaza-county-hall,"Very good hotel, spacious room with a great view Look forward to staying here again in future",2024-11-11,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
20,montcalm-chilworth-townhouse,Everything was perfect cant fault anything and the staff were amazing and very helpful Would 100 stay againNothing,2023-08-04,10.0,7.7,9205,0,0,Perfect location and great hotel and staff,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02
21,park-plaza-county-hall,The front desk staff were very nice and great with the kids The kids got little activity packs on arrival and got to choose out of a little surprise box which they loved Very clean and large rooms,2024-06-06,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
22,park-plaza-county-hall,"Great location, excellent attentive staff and great customer careNothing it was perfect",2024-11-10,10.0,8.6,11045,0,1,From start to finish our stay was perfect we were well looked after and had a fabulous room with a view Would definitel,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
23,lancaster-gate,"Great location
Great breakfast selection
Friendly staff
Quiet roomRoom was a bit tired
Old fashioned hairdryer in the bathroom",2022-10-30,8.0,7.7,14445,0,0,Very good,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
24,marlin-waterloo,NATge extra bed for kids was unfortunately not in good shape Like sleeping on the rocky mountains,2024-07-14,8.0,8.1,10695,0,0,Overall great place to stay,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
25,astorcourthotel,location staffwet towels,2022-02-28,6.0,7.9,7132,0,0,great weekend,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02
26,zedwell-trocaderor,"Clean  modern, nice helpful staff, easy check in  out, close to tourist attractions, despite being right in the middle off london  in the middle off the hotel never heard a soundBit of a maze finding the room",2022-08-30,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
27,keystone-house," The room was very small, no space for luggage
 bed was awfully worn out
 rooms where very smelly, like worn shirts or something
 neighbours could be overheard, like they would be in the same room
 completely overpriced",2024-06-01,2.0,7.9,5933,0,0,Never again,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
28,studios2let,Excellent location,2023-10-27,9.0,7.6,11670,0,0,Would stay here again,3,8.3,7.5,7.9,7.8,7.6,9.3,2024-12-02
29,parkinternational,"This is a fab hotel, its my 3rd visit this year  Great location, friendly and polite staff who are very helpful  Rooms clean, breakfast plentifulNothing, everything was just great",2021-12-08,10.0,7.6,6120,0,0,Excellent hotel,4,8.4,7.5,7.9,8.0,7.4,9.0,2024-12-02
30,marlin-waterloo,Excellent service,2024-10-28,8.0,8.1,10695,0,0,Very good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
31,blakemore,"Breakfast was lovely, room was good and a nice showerIt was a little bit noisy but to be expected in city location",2024-10-21,9.0,8.3,12340,0,0,nice stay,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
32,hanoverhotel,Great value for money with comfortable rooms and friendly   accommodating staff The continental breakfast on offer was also good value at 10 The location is also very convenient being close to Victoria StationNo lift but I wouldnt expect one in a building of this age  location The staff did offer to assist with luggage,2024-04-13,8.0,7.8,5613,0,0,Very good,4,8.6,7.8,8.4,8.4,7.9,8.9,2024-12-02
33,blakemore,"it is in a quiet location, about 10 minutes walk from the tube lovely to walk through Hyde Park tooour bathroom mirror had a heated area which didnt mist up I told the staff it has been hung upside downunless you are 8feet tall",2022-08-16,8.0,8.3,12340,0,0,long weekend to visit our daughter,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
34,blakemore,"The wait for breakfast table can sometimes be very long, some food items and cups run out and the staff manning the breakfast room is on the rude side",2024-10-22,8.0,8.3,12340,0,0,Great location but some small improvements needed,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
35,sidneyhotel,it was comfortable and clean but wish there was a iron in every room instead of the stationwe were in the basement floor the people above us were very annoying,2023-06-07,5.0,7.8,12641,0,0,Passable,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
36,radissonblugrafton,"Location, cleanliness, staff, breakfast, everythingNothing",2023-09-12,10.0,7.9,9315,0,1,Great choice of hotel Highly recommend,4,8.7,8.0,8.4,8.5,7.4,9.1,2024-12-02
37,lancaster-gate,convenient to underground Hyde Park just around the corner pleasant staynothing really would of been nice bot yo veen in basement but it was clean tidy ,2024-10-15,9.0,7.7,14445,0,0,pleasant find,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
38,express-hammersmith,"Clean, comfortable and convenient to get into London to see the sights
Even though on a high street the room was quite, but that also meant there was a good choice of places to eatBreakfast Yes there was a good selection of hot and cold choices which was absolutely fine The servery area was too small and crowded for the   amount of people trying to serve themselves Had to queue on both mornings and to be honest it was a bit stressful and at times dangerous",2022-04-16,9.0,8.0,8003,0,0,Birthday boy treat,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
39,cityinnwestminster,locationroom a little small and combined with the price there are small boutique chain that offer better value,2023-05-29,8.0,8.3,7467,0,0,good,4,8.8,8.5,8.8,8.8,7.9,8.9,2024-12-02
40,z-trafalgar,Spotless cleaning Big space for shower and modern looking even though the room is small Happy that coffee and bottled water are available in the room to kick start business meetingsRoom is small,2023-07-29,8.0,8.4,13923,0,0,Great stay for business travellers,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02
41,crestfieldhotel,great room and locationnothing,2022-01-22,10.0,7.8,6515,0,0,pleasant,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02
42,milleniumgloucester,"Location was excellent for travelling to downtown london or to Heathrow 
Tube station was a 2 minute quick walk 
Staff was excellent at all times We were greeted so well at the check in desk 
Concierges were helpful 
Management was approachable and addressed any concernsThe sink in our room would not drain well 
We requested a fix and staff did so 
However, we felt it was not cleaned well afterwards 
We called and someone came to clean it 
The tub also leaked onto the floor We had to put down towels by the tub corner to keep the water soaked up 
The tub sides are very high to climb in for a shower 
However they had low bars on the tub to grab if you can bend over to hold",2024-10-30,8.0,7.4,15320,1,0,Excellent Staff and Location,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
43,keystone-house,ValueEverything is at least decent,2023-01-01,8.0,7.9,5933,0,0,Very good,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
44,point-a-london-liverpool-street,LocationRoom,2023-09-27,4.0,7.7,8323,0,0,"Originally given room facing lift  very noisy asked to move room, given another room at very back of hotel with wind",3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02
45,express-hammersmith,"Clean comfortable beds Free hot drinks whenever you wanted, staff very helpful Quiet room",2023-09-08,8.0,8.0,8003,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
46,ace,"location was great, amazing staff",2022-06-06,10.0,7.7,6277,0,0,Exceptional,4,8.4,7.7,8.1,8.0,7.9,8.6,2024-12-02
47,marlin-waterloo,"For such a big hotel, it was lovely and quiet The location is perfect for visiting London Eye etc plus theres an underground station right across the road The staff were lovely, really helpful Rooms are spotless and the beds were so comfyNothing Maybe add some hand soap to the bathroom",2023-11-04,9.0,8.1,10695,0,0,I would definitely stay here again and will recommend it to others A lovely hotel in a great location with really nice,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
48,windsorhousehotel,All goodAll good,2023-09-04,10.0,8.0,6335,0,0,All good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
49,stgileshotel,Location and qualityLifts very poor,2023-12-05,10.0,7.0,14989,0,0,Excellent hotel,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
50,park-plaza-county-hall,"Great location, excellent attentive staff and great customer careNothing it was perfect",2024-11-10,10.0,8.6,11045,0,1,From start to finish our stay was perfect we were well looked after and had a fabulous room with a view Would definitel,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
51,milleniumgloucester,The noise of the air con unit was annoying  it was outside our room  bathroom could do with an update The air con noise from outside the room,2022-04-23,7.0,7.4,15320,0,0,"Great location , nice hotel",4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
52,thistletower,the viewroom was quite small,2022-03-16,9.0,7.7,20956,0,0,"we had a fabulous time, thank you",4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
53,express-hammersmith,"Just 510 minutes walk from several tube stations, also just 1015 mintes walk from Thames path recommend a stroll towards FulhamSome noice from passing trains on Picadilly and district lines, that passes just behind the car park But with the window closed, the noice was redused a lot",2024-10-15,8.0,8.0,8005,0,0,Nice hotel for a stay not to far from central London,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
54,lancaster-gate,"Came for the Queens funeral, so we spent only a couple of hours in the room, bed was very comfortable, facilities had all we needed Check in and out was easy and quickNothing",2022-09-20,8.0,7.7,14445,0,0,"Great location 5 mins walk from the tube, 2 minutes walk from Hyde Park, would come again as wa sexc",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
55,thistletower,"The view, of course And the friendly staff",2024-09-27,8.0,7.7,20956,0,0,Very good,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
56,milleniumgloucester,Great location and amazing staffSlightly tired decor but everything is still in working order,2024-10-29,7.0,7.4,15320,0,0,Wonderful stay and made to feel welcome by the team,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
57,montcalm-chilworth-townhouse,good location for usthe menu choices,2022-07-11,8.0,7.7,9205,0,0,good night sleep,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02
58,parkinternational,Good value for money Spacious room for London standardsnothing,2023-02-07,8.0,7.6,6120,0,0,recommended,4,8.4,7.5,7.9,8.0,7.4,9.0,2024-12-02
59,radissonblugrafton,"fantastic location for exploring , right beside the turn station",2023-04-20,7.0,7.9,9315,0,0,comfortable stay,4,8.7,8.0,8.4,8.5,7.4,9.1,2024-12-02
60,marlin-waterloo,"Location is amazing , and room size was decent And neighbourhood is safe , metro station is just across the roadTo be objective, I will compare this hotel to rest of London hotels I ever stayed,  because there is no doubt that over all standards for hotels in London is well below standards of hotels in rest of Europe  at least  so in principle,  this hotel was good  However the beds could be more comfortable,  and washrooms could have more toiletries",2024-10-23,7.0,8.1,10695,0,0,Good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
61,safestay,location is goodrude staff and uncomfortable beds,2024-08-01,3.0,7.1,7703,0,0,Poor,4,7.5,7.3,7.5,7.4,7.7,8.2,2024-12-02
62,blakemore,As always staff were very friendlythe rooms were very comfortable and breakfast very goodIt was quite noisy on the lower ground floor with lots of chatting and doors banging shut very late at night guests fault not the hotels and also the tv in my room did not work,2023-10-25,9.0,8.3,12340,0,0,Friends night away,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
63,keystone-house,"In very convenient location Thats allFirst, check in codes start working at exactly 1500 In no place in the world they dont let you in couple of minutes sometimes hours to check in before check in time One needs to stay outside and wait in the cold
No elevators but its ok, room was good size state of the room is horrible Long hairs on the floors, you cant walk in socks otherwise you can just throw them in a bin Bed full of long hairs, pubic hair everywhere Bed not very comfortable 
Windows foggy and full of mold Weird smell in whole place 
Good carpet cleaning and hovering is a MUST in this place",2024-01-01,5.0,7.9,5933,0,1,Ok for a night,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
64,lancaster-gate,"As soon as we asked to move room, the staff were incredibly quick and helpful to move into a room that was everything we wanted Great location for any events in Hyde ParkOur room on arrival was tiny and at the back of the hotel beside a building site with drilling works",2023-07-10,8.0,7.7,14445,0,0,Great hotel and location for Hyde Park  once we had our room changed,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
65,thistletower,nice clean and comfortable hotel in a good location no view of the bridge but overlooking marina which was okbreakfast very busy had to wait 5 mins with our plates getting cold for fresh bacon from the last tray not good went elsewhere for the 2nd morning,2023-04-29,8.0,7.7,20956,0,0,made our stay for 2 nights very pleasant,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
66,alexandra-hotel,Good locationHard Bed Headboard worn out in both rooms I tried No blind or curtain to the window in the bathroom Anyone can see you showering from buildings at the back of the hotel,2022-04-04,5.0,7.0,6404,0,0,"Good location, but no frills hotel that is in need of some maintenance Price high quality low",3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02
67,ace,los serviciosla cafetera estaba sucia,2023-06-17,8.0,7.7,6277,0,0,buenos servicios,4,8.4,7.7,8.1,8.0,7.9,8.6,2024-12-02
68,crestfieldhotel,"Exceptionally clean
Easy check inUnfortunately I could not get the water in shower to anything other then luke warm",2024-03-09,8.0,7.8,6515,0,0,Very good,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02
69,stgileshotel,staff were friendly and beds were very comfortablerooms are very small and bathroom wasnt the cleanest,2022-02-10,8.0,7.0,14989,0,0,Very good,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
70,zedwell-trocaderor,Great location Easy checkin and out Comfortable and quietA few maintenance niggles I couldnt change the temperature of the aircon in the room the buttons on the control panel didnt work One of the light switches didnt seem to do anything And the button on the front of the tap the onoff switch for the water was loose and fell off,2023-05-30,6.0,7.4,39497,0,0,Good proper maintenance could have made it really good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
71,express-hammersmith,"Just 510 minutes walk from several tube stations, also just 1015 mintes walk from Thames path recommend a stroll towards FulhamSome noice from passing trains on Picadilly and district lines, that passes just behind the car park But with the window closed, the noice was redused a lot",2024-10-15,8.0,8.0,8005,0,0,Nice hotel for a stay not to far from central London,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
72,stgileshotel,Breakfast was very good and lots of choice,2023-06-02,8.0,7.0,14989,0,0,Brilliant stay for my 50th Birthday with a friend and I added a third night on too,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
73,blakemore,"The Location is amazing, you can walk to Hyde Park, great restaurants and PubsNothing",2024-10-17,10.0,8.3,12340,0,0,Cant wait to go back,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
74,zedwell-trocaderor,modern and great locationExtremely basic no furniture in the room whatsoever just mattresses and a shower room,2022-02-26,6.0,7.4,39497,0,0,very basic,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
75,windsorhousehotel,"Very clean and super well located near a tube Bathrooms were nice and everything was newQuite a small space but we understand by London standards, thats a given",2022-06-29,8.0,8.0,6335,1,0,"Clean, new and comfortable",4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
76,windsorhousehotel,"i dont like my stay herefirst of all, When i check in, they said i have a free upgrade but the room does not have elevator the elevator is out of order i am travelling with heavy luggage and an elderly When i climbed the ladder and reached the room, i found other guests luggage is already inside the room Clearly they have made a mistake I climbed again and told them what happened I dont want my mother climb again and i told her to wait at the door first They said pls wait a moment and they really made a mistake 

Mistakes happens and i dont think is a big problem I said i dont need a upgrade please just give me a room with elevator They just asked me to wait without a single apology The attitude is so bad  feel like i am the one causing trouble

15 mins passed and my mother still waited at the room door Both of us dont have the progress i asked whats happening now and they just said wait i said my mother is waiting at door step There is no way she climb ups and downs again They finally get me a room in another building I said if anyone free and help me to get the luggage into another building all buildings has door steps in front door They said sorry i dont have people who can help   

ok i carry them by myself to another buildings First, climbing down from one building and up for another building

When i checked out again heavy rain outside, no staff show any willingness to help when they see guests struggling with luggages in the door steps Thank you for the gentleman who is another room guest helping me to get through the steps

i think all the equipments in london hotels is similar but the attitude really makes a hugh difference i would not stay here again and i recommend who are reading this review think twice on booking it",2022-11-19,6.0,8.0,6335,0,0,worst stay in london,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
77,astorcourthotel,Slippy flour in bathroom and no safe box in room,2022-07-03,8.0,7.9,7132,0,0,"Very nice, comfortable and really friendly and helpful staff",3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02
78,point-a-london-liverpool-street,"clean, great locationsmall rooms, no coffeetea making facilities in room",2022-08-21,7.0,7.7,8323,1,0,Good,3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02
79,milleniumgloucester,"We stayed for 3 nights and had a great stay Our room on the 7th floor was spacious, clean and had all the necessary inroom facilities If you dont mind walking a bit, the location is great as well Go for a 30 min walk through Hyde Park and youll arrive in Nothing Hill We have also used the London Underground lots, as the tube station was just around the corner",2022-05-06,8.0,7.4,15320,0,0,"Clean room, good location, nice staff Id recommend it",4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
80,park-plaza-county-hall,"Great location, excellent attentive staff and great customer careNothing it was perfect",2024-11-10,10.0,8.6,11045,0,1,From start to finish our stay was perfect we were well looked after and had a fabulous room with a view Would definitel,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
81,stgileshotel,"The location is fantastic, it is so central to navigate all areas of London The staff are exceptional, so friendly, polite  professional Our meal in Hudson bar was deliciousThe sills of the windows are rotten  desperate for painting  a slight musty smell in the shower but nothing that couldnt be resolved quickly  having to eat bacon at breakfast with a spoon as not enough cutlery",2024-04-23,8.0,7.0,14989,0,0,"We have stayed at the St Giles Hotel for numerous years  will continue to do so, our stay was as pleasant as always",3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
82,point-a-london-liverpool-street,Handy for Liverpool St and Spitalfields Smart decor Outside space for sitting WiFi and hot water fine The cheaper room without a window was perfectly satisfactory as no street noise Didnt try breakfastMood lighting in room was a bit annoying Very minor point,2023-04-29,8.0,7.7,8323,0,0,A good stop for the City,3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02
83,cityinnwestminster,Very clean and comfortableOpen plan nature of rooms with sliding door dividing bedroom and toiletshower is not ideal  especially for friends sharing a twin,2024-07-15,7.0,8.3,7467,0,0,Good,4,8.8,8.5,8.8,8.8,7.9,8.9,2024-12-02
84,sidneyhotel,We stay at the apartmentits near the hotelour room is at 7 floor without elevatorAlso the room is dirtyNot a good choice,2023-05-16,4.0,7.8,12641,0,0,Not a good choice,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
85,royal-national,"we did not havei  did not have a fridge in the room , could be very helpful",2023-03-27,7.0,7.5,9767,1,0,a very good stay in the heart of the city,3,8.3,7.5,8.0,7.9,7.3,8.9,2024-12-02
86,thistletower,Excellent location helpful and friendly staff car park directly below the lobby  25 for 24 hours discounted rate for staying at the hotel Overlooking the ThamesTower BridgeCould have done with more teacoffeemilk in the room  same with most hotels,2022-04-27,8.0,7.7,20956,0,0,Very enjoyable,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
87,milleniumgloucester,Great location and amazing staffSlightly tired decor but everything is still in working order,2024-10-29,7.0,7.4,15320,0,0,Wonderful stay and made to feel welcome by the team,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
88,ace,"The room is very modern and is located around 7min walk to the closest tube stationBreakfast choice is limited, hotel staff wouldnt allow earlier check in and the room is extremely small, barely can move around when you have two large suitcases in the room",2022-08-01,8.0,7.7,6277,1,0,Nice boutique hotel in Central London but extremely small room,4,8.4,7.7,8.1,8.0,7.9,8.6,2024-12-02
89,marlin-waterloo,"Location of the hotel Close to the London Eye and the bus and tube station itself Close to grocery store, good pizzeria and pub The location itself seems pretty safe Part of the staff is excellent, but part needs additional trainingThere was a smell of sewage in the room all the time We complained at the reception, they said they would solve  nothing was resolved Also the bathroom door was constantly scraping into the stock and barely opening and closing  which one janitor solves in a few minutes realistically  you shouldnt allow a 4 star hotel  The hotel at check in takes 50 GBP as a reservation  deposit if something was damaged in the room  nothing was damaged, but the money was not returned to the card  they said they would return it in 57 days  it took approx 17 days till now and nothing later we read on Trip Advisor that they never return that money to most",2022-05-24,4.0,8.1,10695,0,0,OK,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
90,cityinnwestminster,"The room was quietLocation and value for money were non existent
The buffet breakfast was rubbish",2024-09-24,6.0,8.3,7467,1,0,Probably better off elsewhere,4,8.8,8.5,8.8,8.8,7.9,8.9,2024-12-02
91,express-hammersmith,"Good starting point for London sightseeing  close to the underground and bus, with nice and cheap pub in the basement that is serving breakfasts, but is also open till 11 pm Just around the corner nice shop called Istambul express where you can buy all kind of food, including fresh vegetables and fruitsAs usual in British bathrooms, small issues with the drain",2022-09-13,9.0,8.0,8003,0,0,Superb,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02
92,keystone-house,"Location was greatCould not find the lift girlfriend was pregnant and on 4th floor, and bed was uncomfortable will felt like a bar in the middle of the bed but slept OK",2024-11-15,7.0,7.9,5933,0,0,Good,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
93,radissonblugrafton,"LocationRoom was small, bedsheets dirty, aircon couldnt be adjusted, aircon too noisy, blinds didnt cover the window, window not good enough to keep substantial noise out",2022-07-16,1.0,7.9,9315,0,0,Absolutely the worst room Ive ever stayed in and terrible value for money,4,8.7,8.0,8.4,8.5,7.4,9.1,2024-12-02
94,astorcourthotel,location and staffno safe box in the room No cameras in the corridors,2023-10-05,4.0,7.9,7132,0,0,Disappointing,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02
95,point-a-london-liverpool-street,"The property is in a good location if you want to explore Shoreditch and the surrounding area It was super easy to check in and it was mostly clean The staff were nice and the continental breakfast was goodThe room itself was a bit dusty around the edges and the TV didnt work properly Although if youre booking a small room like ours, you probably arent spending much time there The main downside was the noise Our room was on the 2nd floor and you could regularly hear a train passing under the building, which was quite disruptive for sleeping The tube does stop around 1am but then resumes again around 6am Not a great place to book if youre a light sleeper",2024-02-13,6.0,7.7,8323,0,0,"Good overall, but the noise of passing trains might disturb a light sleeper",3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02
96,thistletower,"location was fantastic staff were very friendly, breakfast was very goodna",2023-03-20,8.0,7.7,20956,0,1,will definitely stay again,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
97,studios2let,"Nice staff, great locationNo iron in the room  separate ironlaundry room in the basement",2022-11-09,8.0,7.6,11670,0,0,"Nice place, good location",3,8.3,7.5,7.9,7.8,7.6,9.3,2024-12-02
98,blakemore,"The wait for breakfast table can sometimes be very long, some food items and cups run out and the staff manning the breakfast room is on the rude side",2024-10-22,8.0,8.3,12340,0,0,Great location but some small improvements needed,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
